team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
Washington,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,31,6225.0,767,1678,1019,538,6225.0,0.528,229,659,0.347,72,419,598,0.701,249,640,889,358,416,0.86,274,181,571,9,2182,332,3,524,301,0,10,948,2378,1941.12,0.562,10.71,16.9,9.71,200.8,70.4,8.03,20.65,28.68,11.5,8.84,5.84,13.42,18.42,0.1,2.32,24.74,54.13,7.39,21.26,13.52,19.29,17.35,32.87,30.58,76.71,62.62
UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,31,6275.0,869,1895,1215,630,6275.0,0.519,239,680,0.351,100,452,716,0.631,318,864,1182,454,438,1.04,184,130,521,6,2429,363,7,418,403,0,2,1133,2651,2210.04,0.55,11.71,13.48,13.0,202.4,78.4,10.26,27.87,38.13,14.6,5.94,4.19,14.13,16.81,0.23,3.23,28.03,61.13,7.71,21.94,14.58,23.1,20.32,39.19,36.55,85.52,71.29
Jacksonville State,Gamecocks,13358462-e05b-4449-8688-90c4622cdde8,33,6725.0,953,2064,1430,753,6725.0,0.527,200,634,0.315,19,468,630,0.743,353,843,1196,451,440,1.03,245,138,552,12,2574,286,3,563,466,0,1,1216,2891,2341.2,0.55,8.67,17.06,14.12,203.8,78.0,10.7,25.55,36.24,13.7,7.42,4.18,13.33,16.73,0.09,0.58,28.88,62.55,6.06,19.21,14.18,19.09,22.82,43.33,36.85,87.61,70.95
Eastern Illinois,Panthers,23fec4e7-108f-4569-85d1-bef2f794e925,32,6550.0,826,1912,1177,554,6550.0,0.471,272,735,0.37,12,375,545,0.688,306,761,1067,434,427,1.02,200,120,569,5,2299,180,1,487,342,0,1,829,2437,2151.8,0.534,5.63,15.22,10.69,204.7,71.8,9.56,23.78,33.34,13.6,6.25,3.75,13.34,17.78,0.03,0.38,25.81,59.75,8.5,22.97,11.72,17.03,17.31,36.78,25.91,76.16,67.24
Southeast Missouri State,Redhawks,6a7083ab-1832-48c0-9168-427b35adbcde,31,6325.0,796,1809,1090,530,6325.0,0.486,266,719,0.37,20,358,519,0.69,237,754,991,402,447,0.9,182,75,615,3,2216,188,0,385,255,0,3,824,2245,2037.36,0.544,6.06,12.42,8.23,204.0,71.5,7.65,24.32,31.97,13.0,5.87,2.42,14.42,19.84,0.0,0.65,25.68,58.35,8.58,23.19,11.55,16.74,17.1,35.16,26.58,72.42,65.72
Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,31,6200.0,938,1890,1195,696,6200.0,0.582,242,695,0.348,34,464,629,0.738,304,800,1104,560,373,1.5,235,142,506,6,2582,518,0,570,370,0,3,1262,3133,2166.76,0.596,16.71,18.39,11.94,200.0,83.3,9.81,25.81,35.61,18.1,7.58,4.58,12.03,16.32,0.0,1.1,30.26,60.97,7.81,22.42,14.97,20.29,22.45,38.55,40.71,101.06,69.9
Tennessee State,Tigers,87721c44-53a2-47aa-9b3a-0f1c99b0f328,30,6050.0,751,1739,1023,511,6050.0,0.5,240,716,0.335,17,440,628,0.701,278,675,953,342,497,0.69,219,78,735,9,2182,178,1,473,309,0,2,925,2101,2015.32,0.541,5.93,15.77,10.3,201.7,72.7,9.27,22.5,31.77,11.4,7.3,2.6,16.57,24.5,0.03,0.57,25.03,57.97,8.0,23.87,14.67,20.93,17.03,34.1,30.83,70.03,67.18
Tennessee-Martin,Skyhawks,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,31,6250.0,854,1915,1189,604,6250.0,0.508,250,726,0.344,11,398,528,0.754,314,659,973,441,418,1.06,223,88,490,6,2356,342,0,483,392,0,3,1022,2472,2147.32,0.549,11.03,15.58,12.65,201.6,76.0,10.13,21.26,31.39,14.2,7.19,2.84,13.48,15.81,0.0,0.35,27.55,61.77,8.06,23.42,12.84,17.03,19.48,38.35,32.97,79.74,69.27
Belmont,Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c,31,6250.0,987,1976,1106,662,6250.0,0.599,325,870,0.374,23,411,557,0.738,236,889,1125,616,360,1.71,213,117,481,3,2695,287,0,470,312,0,1,1263,3271,2221.08,0.607,9.26,15.16,10.06,201.6,86.9,7.61,28.68,36.29,19.9,6.87,3.77,11.61,15.52,0.0,0.74,31.84,63.74,10.48,28.06,13.26,17.97,21.35,35.68,40.74,105.52,71.65
Austin Peay,Governors,a0fdb660-a822-4337-b01d-31c4d2c99c8a,33,6675.0,973,2060,1358,705,6675.0,0.519,268,702,0.382,16,498,705,0.706,369,774,1143,454,392,1.16,252,110,596,8,2712,206,0,569,433,0,1,1164,2985,2370.2,0.572,6.24,17.24,13.12,202.3,82.2,11.18,23.45,34.64,13.8,7.64,3.33,11.88,18.06,0.0,0.48,29.48,62.42,8.12,21.27,15.09,21.36,21.36,41.15,35.27,90.45,71.82
Morehead State,Eagles,b7747a03-c85b-4de6-94bf-1b5b68553248,33,6675.0,855,1993,1231,595,6675.0,0.483,260,762,0.341,25,461,654,0.705,300,772,1072,440,402,1.09,186,137,561,11,2431,187,0,506,342,0,2,1006,2533,2280.76,0.533,5.67,15.33,10.36,202.3,73.7,9.09,23.39,32.48,13.3,5.64,4.15,12.18,17.0,0.0,0.76,25.91,60.39,7.88,23.09,13.97,19.82,18.03,37.3,30.48,76.76,69.11
SIU-Edwardsville,Cougars,c206712f-2298-4279-b76c-834ac42809b9,31,6400.0,794,1898,1233,593,6400.0,0.481,201,665,0.302,15,476,677,0.703,294,689,983,382,437,0.87,198,70,612,9,2265,293,0,472,317,0,2,958,2156,2195.88,0.516,9.45,15.23,10.23,206.5,73.1,9.48,22.23,31.71,12.3,6.39,2.26,14.1,19.74,0.0,0.48,25.61,61.23,6.48,21.45,15.35,21.84,19.13,39.77,30.9,69.55,70.83
Eastern Kentucky,Colonels,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,31,6325.0,902,2125,1293,630,6325.0,0.487,272,832,0.327,18,486,683,0.712,328,741,1069,457,447,1.02,317,101,661,3,2562,239,1,636,354,0,2,1010,2639,2425.52,0.528,7.71,20.52,11.42,204.0,82.6,10.58,23.9,34.48,14.7,10.23,3.26,14.42,21.32,0.03,0.58,29.1,68.55,8.77,26.84,15.68,22.03,20.32,41.71,32.58,85.13,78.24
Tennessee Tech,Golden Eagles,fe037cba-25d9-42f5-a461-61d7102c17de,31,6250.0,742,1784,1164,529,6250.0,0.454,213,620,0.344,31,407,645,0.631,283,713,996,389,517,0.75,226,134,554,5,2104,257,1,437,306,0,2,937,2052,2067.8,0.509,8.29,14.1,9.87,201.6,67.9,9.13,23.0,32.13,12.5,7.29,4.32,16.68,17.87,0.03,1.0,23.94,57.55,6.87,20.0,13.13,20.81,17.06,37.55,30.23,66.19,66.7
Indiana State,Sycamores,2a997096-a381-469d-a7e9-9e031c8b071c,31,6250.0,757,1719,1228,579,6250.0,0.471,178,491,0.363,86,454,621,0.731,205,706,911,342,401,0.85,207,73,586,2,2146,276,1,455,248,0,11,980,2149,1992.24,0.539,8.9,14.68,8.0,201.6,69.2,6.61,22.77,29.39,11.0,6.68,2.35,12.94,18.9,0.03,2.77,24.42,55.45,5.74,15.84,14.65,20.03,18.68,39.61,31.61,69.32,64.27
Northern Iowa,Panthers,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,34,6800.0,769,1847,1055,493,6800.0,0.467,276,792,0.348,65,401,537,0.747,225,802,1027,370,393,0.94,165,75,554,3,2215,94,1,435,216,0,5,668,2245,2083.28,0.532,2.76,12.79,6.35,200.0,65.1,6.62,23.59,30.21,10.9,4.85,2.21,11.56,16.29,0.03,1.91,22.62,54.32,8.12,23.29,11.79,15.79,14.5,31.03,19.65,66.03,61.27
Illinois State,Redbirds,509aacc4-c121-46a2-800a-d5431ef181d2,33,6650.0,813,1887,1153,569,6650.0,0.493,244,734,0.332,80,387,540,0.717,254,783,1037,421,417,1.01,162,106,578,3,2257,155,0,420,316,0,10,888,2339,2124.6,0.531,4.7,12.73,9.58,201.5,68.4,7.7,23.73,31.42,12.8,4.91,3.21,12.64,17.52,0.0,2.42,24.64,57.18,7.39,22.24,11.73,16.36,17.24,34.94,26.91,70.88,64.38
Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a,33,6600.0,805,1632,1083,604,6600.0,0.558,201,549,0.366,124,359,539,0.666,162,762,924,448,393,1.14,212,73,457,0,2170,158,3,498,197,0,2,1065,2427,1869.16,0.58,4.79,15.09,5.97,200.0,65.8,4.91,23.09,28.0,13.6,6.42,2.21,11.91,13.85,0.09,3.76,24.39,49.45,6.09,16.64,10.88,16.33,18.3,32.82,32.27,73.55,56.64
Southern Illinois,Salukis,7cdfcf92-7fe7-46f1-9b66-6912114182e6,32,6400.0,802,1720,1150,589,6400.0,0.512,213,570,0.374,86,377,550,0.685,248,739,987,438,448,0.98,212,129,474,5,2194,176,0,438,304,0,6,978,2421,1962.0,0.559,5.5,13.69,9.5,200.0,68.6,7.75,23.09,30.84,13.7,6.63,4.03,14.0,14.81,0.0,2.69,25.06,53.75,6.66,17.81,11.78,17.19,18.41,35.94,30.56,75.66,61.31
Drake,Bulldogs,aed211c3-23a4-4188-ad70-22c6eba7d765,33,6700.0,880,1868,1118,607,6700.0,0.543,273,750,0.364,70,457,607,0.753,220,844,1064,508,436,1.17,174,126,549,2,2490,205,3,412,269,0,6,1050,2788,2135.08,0.583,6.21,12.48,8.15,203.0,75.5,6.67,25.58,32.24,15.4,5.27,3.82,13.21,16.64,0.09,2.12,26.67,56.61,8.27,22.73,13.85,18.39,18.39,33.88,31.82,84.48,64.7
Bradley,Braves,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,34,6825.0,790,1822,1190,559,6825.0,0.47,231,632,0.366,66,453,654,0.693,281,805,1086,410,430,0.95,183,128,599,11,2264,192,5,455,307,0,8,938,2408,2109.76,0.537,5.65,13.38,9.03,200.7,66.6,8.26,23.68,31.94,12.1,5.38,3.76,12.65,17.62,0.15,1.94,23.24,53.59,6.79,18.59,13.32,19.24,16.44,35.0,27.59,70.82,62.05
Missouri State,Bears,b83de2df-328f-4303-9895-cdff048fb1ed,32,6425.0,774,1714,1065,550,6425.0,0.516,224,649,0.345,71,434,627,0.692,241,692,933,354,385,0.92,221,127,545,10,2206,174,3,503,271,0,7,977,2323,1989.88,0.554,5.44,15.72,8.47,200.8,68.9,7.53,21.63,29.16,11.1,6.91,3.97,12.03,17.03,0.09,2.22,24.19,53.56,7.0,20.28,13.56,19.59,17.19,33.28,30.53,72.59,62.18
Evansville,Purple Aces,d8217105-e9c2-4267-9538-3aaeea1ae167,32,6475.0,747,1776,1000,483,6475.0,0.483,264,776,0.34,72,476,660,0.721,190,827,1017,394,415,0.95,185,89,603,9,2234,171,6,401,222,0,9,860,2291,2066.4,0.541,5.34,12.53,6.94,202.3,69.8,5.94,25.84,31.78,12.3,5.78,2.78,12.97,18.84,0.19,2.25,23.34,55.5,8.25,24.25,14.88,20.63,15.09,31.25,26.88,71.59,64.58
Valparaiso,Crusaders,df3da9d7-2d2b-44e2-99e2-08c4945a203b,33,6675.0,802,1783,1198,617,6675.0,0.515,185,585,0.316,75,416,595,0.699,246,780,1026,431,439,0.98,202,101,546,6,2205,312,3,457,297,0,9,1052,2366,2044.8,0.539,9.45,13.85,9.0,202.3,66.8,7.45,23.64,31.09,13.1,6.12,3.06,13.3,16.55,0.09,2.27,24.3,54.03,5.61,17.73,12.61,18.03,18.7,36.3,31.88,71.7,61.96
Iowa State,Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c,31,6200.0,874,1833,1109,612,6200.0,0.552,262,724,0.362,76,399,548,0.728,255,750,1005,482,342,1.41,219,140,463,5,2409,300,1,473,304,0,7,1006,2805,2074.12,0.581,9.68,15.26,9.81,200.0,77.7,8.23,24.19,32.42,15.5,7.06,4.52,11.03,14.94,0.03,2.45,28.19,59.13,8.45,23.35,12.87,17.68,19.74,35.77,32.45,90.48,66.91
Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,31,6250.0,781,1793,1019,517,6250.0,0.507,264,774,0.341,107,381,534,0.713,281,697,978,397,343,1.16,186,127,521,3,2207,164,1,434,312,0,8,928,2387,2027.96,0.544,5.29,14.0,10.06,201.6,71.2,9.06,22.48,31.55,12.8,6.0,4.1,11.06,16.81,0.03,3.45,25.19,57.84,8.52,24.97,12.29,17.23,16.68,32.87,29.94,77.0,65.42
Oklahoma State,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,31,6225.0,733,1734,1010,461,6225.0,0.456,272,724,0.376,102,370,537,0.689,232,728,960,409,376,1.09,174,131,504,6,2108,302,2,378,295,0,12,742,2238,1970.28,0.535,9.74,12.19,9.52,200.8,68.0,7.48,23.48,30.97,13.2,5.61,4.23,12.13,16.26,0.06,3.29,23.65,55.94,8.77,23.35,11.94,17.32,14.87,32.58,23.94,72.19,63.56
Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,31,6225.0,802,1802,1195,594,6225.0,0.497,208,607,0.343,114,394,573,0.688,238,802,1040,394,382,1.03,184,98,489,3,2206,201,8,424,235,1,8,1001,2361,2054.12,0.537,6.48,13.68,7.58,200.8,71.2,7.68,25.87,33.55,12.7,5.94,3.16,12.32,15.77,0.26,3.68,25.87,58.13,6.71,19.58,12.71,18.48,19.16,38.55,32.29,76.16,66.26
Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,31,6200.0,736,1693,1052,519,6200.0,0.493,217,641,0.339,86,354,535,0.662,249,705,954,426,358,1.19,233,68,503,4,2043,230,1,532,275,0,9,758,2228,1928.4,0.53,7.42,17.16,8.87,200.0,65.9,8.03,22.74,30.77,13.7,7.52,2.19,11.55,16.23,0.03,2.77,23.74,54.61,7.0,20.68,11.42,17.26,16.74,33.94,24.45,71.87,62.21
Baylor,Bears,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,31,6225.0,791,1795,1072,546,6225.0,0.509,245,723,0.339,128,400,594,0.673,361,717,1078,432,410,1.05,193,147,586,5,2227,172,2,447,435,0,10,946,2469,2056.36,0.541,5.55,14.42,14.03,200.8,71.8,11.65,23.13,34.77,13.9,6.23,4.74,13.23,18.9,0.06,4.13,25.52,57.9,7.9,23.32,12.9,19.16,17.61,34.58,30.52,79.65,66.33
West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,31,6300.0,758,1828,1101,527,6300.0,0.479,231,727,0.318,114,515,756,0.681,377,717,1094,406,498,0.82,190,108,640,16,2262,181,7,424,465,1,19,853,2251,2160.64,0.523,5.84,13.68,15.0,203.2,73.0,12.16,23.13,35.29,13.1,6.13,3.48,16.06,20.65,0.23,3.68,24.45,58.97,7.45,23.45,16.61,24.39,17.0,35.52,27.52,72.61,69.7
TCU,Horned Frogs,f7fcbb6e-4a55-41ea-ba21-f763ed914467,31,6300.0,836,1828,1145,597,6300.0,0.521,239,683,0.35,118,400,580,0.69,288,746,1034,505,420,1.2,219,136,502,3,2311,271,3,492,307,0,9,1038,2613,2083.2,0.555,8.74,15.87,9.9,203.2,74.5,9.29,24.06,33.35,16.3,7.06,4.39,13.55,16.19,0.1,3.81,26.97,58.97,7.71,22.03,12.9,18.71,19.26,36.94,33.48,84.29,67.2
Texas Tech,Red Raiders,f8c705b7-87d3-411a-9c8b-5124daab0469,31,6225.0,811,1718,1105,585,6225.0,0.529,226,613,0.369,76,417,577,0.723,248,745,993,419,381,1.1,221,151,550,2,2265,180,2,544,276,0,9,917,2601,1971.88,0.574,5.81,17.55,8.9,200.8,73.1,8.0,24.03,32.03,13.5,7.13,4.87,12.29,17.74,0.06,2.45,26.16,55.42,7.29,19.77,13.45,18.61,18.87,35.65,29.58,83.9,63.61
Kansas,Jayhawks,fae4855b-1b64-4b40-a632-9ed345e1e952,31,6275.0,844,1820,1166,612,6275.0,0.525,232,654,0.355,103,424,610,0.695,282,803,1085,416,415,1.0,211,116,531,3,2344,265,4,478,334,0,11,1050,2595,2088.4,0.561,8.55,15.42,10.77,202.4,75.6,9.1,25.9,35.0,13.4,6.81,3.74,13.39,17.13,0.13,3.32,27.23,58.71,7.48,21.1,13.68,19.68,19.74,37.61,33.87,83.71,67.37
Arkansas-Little Rock,Trojans,0dadedb0-2bd3-45e7-91a3-93af6c4e87f2,31,6250.0,817,1687,1105,611,6250.0,0.553,206,582,0.354,11,461,703,0.656,215,764,979,443,505,0.88,169,87,623,9,2306,261,1,504,273,0,7,1030,2367,1996.32,0.578,8.42,16.26,8.81,201.6,74.4,6.94,24.65,31.58,14.3,5.45,2.81,16.29,20.1,0.03,0.35,26.35,54.42,6.65,18.77,14.87,22.68,19.71,35.65,33.23,76.35,64.4
South Alabama,Jaguars,10c614fa-9646-46cf-a1fb-5af96772bbb8,31,6275.0,800,1733,1039,546,6275.0,0.526,254,694,0.366,24,412,610,0.675,230,691,921,430,410,1.05,187,127,591,8,2266,341,2,464,272,0,1,1000,2390,2001.4,0.566,11.0,14.97,8.77,202.4,73.1,7.42,22.29,29.71,13.9,6.03,4.1,13.23,19.06,0.06,0.77,25.81,55.9,8.19,22.39,13.29,19.68,17.61,33.52,32.26,77.1,64.56
Louisiana-Monroe,Warhawks,18585f21-1d63-4400-974c-433fd5073c34,30,6050.0,776,1721,968,483,6050.0,0.499,293,753,0.389,21,503,648,0.776,236,675,911,407,336,1.21,173,62,470,5,2348,181,1,425,332,0,0,779,2475,2006.12,0.585,6.03,14.17,11.07,201.7,78.3,7.87,22.5,30.37,13.6,5.77,2.07,11.2,15.67,0.03,0.7,25.87,57.37,9.77,25.1,16.77,21.6,16.1,32.27,25.97,82.5,66.87
Texas State,Bobcats,1e5dc9e4-c60d-487b-8279-dfbec9229faa,31,6250.0,809,1790,1105,580,6250.0,0.525,229,685,0.334,12,417,622,0.67,307,748,1055,461,410,1.12,210,70,606,6,2264,226,0,537,379,0,2,918,2464,2063.68,0.549,7.29,17.32,12.23,201.6,73.0,9.9,24.13,34.03,14.9,6.77,2.26,13.23,19.55,0.0,0.39,26.1,57.74,7.39,22.1,13.45,20.06,18.71,35.65,29.61,79.48,66.57
Coastal Carolina,Chanticleers,4af63ebd-d3c8-4772-bbde-938a078bd057,30,6050.0,779,1711,1056,535,6050.0,0.507,244,655,0.373,12,512,710,0.721,292,725,1017,398,428,0.93,193,73,625,4,2314,373,0,469,319,0,1,949,2437,2023.4,0.572,12.43,15.63,10.63,201.7,77.1,9.73,24.17,33.9,13.3,6.43,2.43,14.27,20.83,0.0,0.4,25.97,57.03,8.13,21.83,17.07,23.67,17.83,35.2,31.63,81.23,67.45
Troy,Trojans,6373b18c-62f6-49bc-bd4c-8959a2466516,30,6050.0,773,1719,1015,537,6050.0,0.529,236,704,0.335,5,397,550,0.722,244,689,933,394,408,0.97,171,135,523,4,2179,209,0,386,296,0,0,910,2305,1961.0,0.556,6.97,12.87,9.87,201.7,72.6,8.13,22.97,31.1,13.1,5.7,4.5,13.6,17.43,0.0,0.17,25.77,57.3,7.87,23.47,13.23,18.33,17.9,33.83,30.33,76.83,65.37
Louisiana-Lafayette,Ragin' Cajuns,63cad858-8654-4956-8438-8fe79cd1208a,31,6250.0,873,1961,1169,596,6250.0,0.51,277,792,0.35,9,520,699,0.744,317,689,1006,462,409,1.13,215,122,596,6,2543,196,0,546,363,0,2,1018,2672,2268.56,0.56,6.32,17.61,11.71,201.6,82.0,10.23,22.23,32.45,14.9,6.94,3.94,13.19,19.23,0.0,0.29,28.16,63.26,8.94,25.55,16.77,22.55,19.23,37.71,32.84,86.19,73.18
Georgia Southern,Eagles,6b955b96-b736-475e-bffd-e4acf2054169,31,6250.0,957,1900,1314,765,6250.0,0.582,192,586,0.328,12,481,700,0.687,259,765,1024,383,425,0.9,241,120,555,4,2587,422,0,566,341,0,1,1331,2768,2208.0,0.586,13.61,18.26,11.0,201.6,83.5,8.35,24.68,33.03,12.4,7.77,3.87,13.71,17.9,0.0,0.39,30.87,61.29,6.19,18.9,15.52,22.58,24.68,42.39,42.94,89.29,71.23
Texas-Arlington,Mavericks,7c2b372b-b5f0-466e-90cf-880beec57584,31,6325.0,733,1781,1061,511,6325.0,0.482,222,720,0.308,29,465,628,0.74,295,764,1059,398,440,0.9,201,89,592,6,2153,323,0,408,302,0,3,776,2249,2057.32,0.523,10.42,13.16,9.74,204.0,69.5,9.52,24.65,34.16,12.8,6.48,2.87,14.19,19.1,0.0,0.94,23.65,57.45,7.16,23.23,15.0,20.26,16.48,34.23,25.03,72.55,66.37
Appalachian State,Mountaineers,87d88c93-29bc-4306-b0a6-87c6f6e80da1,31,6250.0,853,1881,1097,573,6250.0,0.522,280,784,0.357,31,491,688,0.714,266,752,1018,395,406,0.97,166,86,571,4,2477,227,0,470,328,0,6,936,2511,2183.72,0.567,7.32,15.16,10.58,201.6,79.9,8.58,24.26,32.84,12.7,5.35,2.77,13.1,18.42,0.0,1.0,27.52,60.68,9.03,25.29,15.84,22.19,18.48,35.39,30.19,81.0,70.44
